codigo_postal,municipio_id,nombre_entidad_singular
02140,02003,"SALOBRAL (EL)"
02141,02063,POZOHONDO
02142,02044,MULLIDAR
02142,02063,"NAVA DE ARRIBA"
02150,02075,VALDEGANGA
02151,02021,"CASAS DE JUAN NUÑEZ"
02152,02002,ALATOZ
02153,02020,"CASAS DE JUAN GIL"
02154,02064,POZO-LORENTE
02154,02083,VILLAVALIENTE
02155,02003,TINAJEROS
02156,02029,"FELIPA (LA)"
02160,02043,LEZUZA
02161,02043,"VANDELARAS DE ARRIBA"
02162,02038,ONCEBREROS
02170,21013,"BOLLULLOS PAR DEL CONDADO"
02200,02024,CASAS-IBAÑEZ
02210,02007,"ALCALA DEL JUCAR"
02211,02007,TOLOSA
02212,02023,"CASAS DE VES"
02213,02013,"PARED (LA)"
02213,02077,"BARRIO DEL SANTUARIO"
02214,02007,ZULEMA
02214,02013,"VISO (EL)"
02215,02005,ALBOREA
02215,02082,VILLATOYA
02220,02052,MOTILLEJA
02230,02045,MADRIGUERAS
02236,02078,"VILLALGORDO DEL JUCAR"
02240,02046,MAHORA
02246,02054,"NAVAS DE JORQUERA"
02247,02026,CENIZATE
02248,02041,JORQUERA
02249,02034,BORMATE
02249,02041,MALDONADO
02249,02066,"RECUEJA (LA)"
02250,02001,ABENGIBRE
02251,02034,CAMPOALBILLO
02252,02007,MARIMINGUEZ
02253,02036,GOLOSALVO
02260,02034,FUENTEALBILLA
02270,02079,VILLAMALEA
02300,02008,"JARDIN (EL)"
02310,02085,VIVEROS
02311,02062,POVEDILLA
02312,02008,SOLANILLA
02313,02059,ZORIO
02314,02008,"HOZ (LA)"
02314,02047,PEÑARRUBIA
02314,02059,PESEBRE
02315,02076,VIANOS
02316,02070,SALOBRE
02320,02012,BALAZOTE
02326,02071,"SAN PEDRO"
02327,02065,"MADROÑO (EL)"
02328,02003,"SANTA ANA"
02329,02022,"BATAN MAZOS"
02330,02008,"JARDIN (EL)"
02331,02068,"CHOSPES (LOS)"
02332,02068,"CUBILLO (EL)"
02340,02068,ROBLEDO
02350,02080,VILLAPALACIOS
02360,02016,BIENSERVIDA
02395,29051,"BAHIA DORADA"
02400,02037,"RINCON DEL MORO"
02409,02037,MINGOGIL
02410,02044,TALAVE
02420,02037,ISSO
02430,02030,"FUENTE DEL TAIF"
02434,02042,"SIERRA (LA)"
02435,02072,SOCOVOS
02436,02031,FEREZ
02437,02072,TAZONA
02439,02030,"LONGUERA (LA)"
02440,02049,MOLINICOS
02448,02017,YEGUARIZAS
02448,02049,VEGALLERA
02449,02030,"PUERTO DEL PINO"
02449,02049,TORRE-PEDRO
02450,02067,RIOPAR
02459,02058,"CASA ROSA"
02459,02067,"VILLAR (EL)"
02460,02084,"VILLAVERDE DE GUADALIMAR"
02461,02028,"RIO DE COTILLAS O RESINER"
02462,02067,UMBRIA-ANGULO
02462,02084,"VENTA DE MENDOZA"
02470,02030,PERALTA
02480,02086,YESTE
02482,02086,GONTAR
02484,02086,SEGE
02485,02086,TUS
02486,02086,JARTOS
02487,02086,JARTOS
02488,02086,SEGE
02489,02086,GRAYA
02490,02037,AGRAMON
02498,02037,"MINAS (LAS)"
02499,02037,CANCARIX
02500,02074,TOBARRA
02510,02029,"POZO BUENO"
02510,02901,"POZO CAÑADA"
02511,02003,"CERRO LOBO"
02512,02003,"CASA DE LAS MONJAS"
02513,02074,SIERRA
02514,02074,"MARDOS (LOS)"
02520,02029,"FELIPA (LA)"
02529,02029,HORNA
02530,02055,TURRILLA
02534,02055,JUTIA
02535,02055,YETAS
02536,02055,VIZCABLE
02537,02055,CAÑADAS
02538,02055,HUEBRAS
02539,02055,"PEDRO ANDRES"
02600,02025,CAUDETE
02600,02081,VILLARROBLEDO
02610,02019,"BONILLO (EL)"
02611,02057,"OSSA DE MONTIEL"
02612,02053,MUNERA
02612,02081,"CASAS DE LA PEÑA"
02613,02019,SOTUELAMOS
02614,02014,"BALLESTERO (EL)"
02620,02048,MINAYA
02630,02069,"RODA (LA)"
02636,02078,"VILLALGORDO DEL JUCAR"
02636,16060,"CARMEN (EL)"
02637,02032,FUENSANTA
02638,02050,MONTALVOS
02639,02015,BARRAX
02639,02069,"SANTA MARTA"
02640,02009,ALMANSA
02650,02051,"MONTEALEGRE DEL CASTILLO"
02651,02033,FUENTE-ALAMO
02652,02056,ONTUR
02653,02004,ALBATANA
02660,02025,CAUDETE
02660,02081,VILLARROBLEDO
02690,02010,ALPERA
02690,02039,HIGUERUELA
02691,02018,BONETE
02692,02029,PINILLA
02692,02061,PETROLA
02693,02027,"HIGUERA (LA)"
02694,02039,ONCEBREROS
02694,28007,ALCORCON
02695,02029,"VILLAR DE CHINCHILLA"
02695,28007,ALCORCON
02696,02040,HOYA-GONZALO
02702,28007,ALCORCON
02999,02011,"POZUELO (EL)"
03001,03014,ALICANTE/ALACANT
03002,03014,ALICANTE/ALACANT
03003,03014,ALICANTE/ALACANT
03004,03014,ALICANTE/ALACANT
03005,03014,ALICANTE/ALACANT
03006,03014,"BACAROT (EL)"
03007,03014,ALICANTE/ALACANT
03008,03014,ALICANTE/ALACANT
03009,03014,ALICANTE/ALACANT
03010,03014,ALICANTE/ALACANT
03011,03014,ALICANTE/ALACANT
03012,03014,ALICANTE/ALACANT
03013,03014,ALICANTE/ALACANT
03014,03014,ALICANTE/ALACANT
03015,03014,ALICANTE/ALACANT
03016,03014,ALICANTE/ALACANT
03083,30024,"CASICAS (LAS)"
03096,03096,ONIL
03100,03083,XIXONA
03108,03132,"TORREMANZANAS/TORRE DE LE"
03109,03129,TIBI
03110,03090,MUTXAMEL
03111,03046,BUSOT
03112,03014,ALICANTE/ALACANT
03113,03014,"PARTIDA DE VALLONGA"
03113,03065,JUBALCOI
03114,03014,"BACAROT (EL)"
03115,03014,"MONNEGRE - CABEÇO D'OR"
03119,03099,TORREMENDO
03130,03121,"SANTA POLA"
03138,03014,"ISLA PLANA-NUEVA TABARCA"
03139,03065,"ALTET (EL)"
03140,03076,"GUARDAMAR DEL SEGURA"
03150,03064,DOLORES
03158,03055,CATRAL
03158,03059,"SAN FELIPE NERI"
03159,03061,"DAYA NUEVA"
03160,03015,ALMORADI
03169,03012,ALGORFA
03170,03113,ROJALES
03176,03012,ALGORFA
03177,03062,"DAYA VIEJA"
03177,03070,"PALACIOS (LOS)"
03177,03118,"SAN FULGENCIO"
03178,03034,BENIJOFAR
03179,03015,ALMORADI
03179,03070,"FORMENTERA DEL SEGURA"
03180,03133,TORREVIEJA
03181,03133,TORREVIEJA
03182,03133,TORREVIEJA
03183,03133,TORREVIEJA
03184,03133,TORREVIEJA
03185,03133,TORREVIEJA
03186,03133,TORREVIEJA
03187,03903,"MONTESINOS (LOS)"
03188,03133,TORREVIEJA
03189,03099,"ORIHUELA COSTA"
03190,03099,"ORIHUELA COSTA"
03190,03902,"TORRE DE LA HORADADA"
03191,03902,"TORRE DE LA HORADADA"
03193,03120,"SAN MIGUEL DE SALINAS"
03194,03065,"MARINA (LA)"
03195,03065,"ALTET (EL)"
03201,03065,ELCHE/ELX
03202,03065,ELCHE/ELX
03203,03065,JUBALCOI
03204,03065,ELCHE/ELX
03205,03065,CARRUS
03206,03065,ELCHE/ELX
03207,03065,ALTABIX
03208,03065,ELCHE/ELX
03290,03065,ATSAVARES
03291,03065,ALTABIX
03292,03065,"BAYAS (LAS)"
03293,03065,ALGOROS
03294,03065,"FOIA (LA)"
03295,03065,JUBALCOI
03296,03065,ALGODA-MATOLA
03298,32002,BOVEDA
03300,03099,"HUERTOS (LOS)"
03310,03080,JACARILLA
03311,03099,"APARECIDA (LA)"
03312,03099,"NORIAS (LAS)"
03313,03099,HURCHILLO
03314,03099,"SAN BARTOLOME"
03315,03099,"MURADA (LA)"
03316,03025,BENFERRI
03316,03099,"ESCORRATEL (EL)"
03317,03049,CALLOSILLA
03317,03099,"MEDIA LEGUA"
03319,03099,TORREMENDO
03320,03065,TORRELLANO
03321,03099,"CORRENTIAS MEDIAS"
03322,03099,MOLINS
03325,03099,"CAMPANETA (LA)"
03330,03059,CREVILLENT
03339,03059,"ESTACION (LA)"
03340,03005,ALBATERA
03348,03074,"GRANJA DE ROCAMORA"
03349,03904,"SAN ISIDRO"
03350,03058,"SALAR (EL)"
