codigo_postal,municipio_id,codigo_unidad_poblacional,entidad_singular_nombre,nucleo_nombre
01169,01003,0004399,Etxaguen,*Diseminado*
01169,01003,0005699,Gantzaga,*Diseminado*
01169,01003,0008199,Untzilla,*Diseminado*
01169,01003,0009499,Uribarri,*Diseminado*
01170,01058,0001701,Elosu,Elosu
01170,01058,0001799,Elosu,*Diseminado*
01170,01058,0002299,Goiain,*Diseminado*
01170,01058,0004399,Urbina,*Diseminado*
01170,01058,0005601,Urrunaga,Urrunaga
01170,01058,0005699,Urrunaga,*Diseminado*
01170,01058,0006901,Legutio,Legutio
01170,01058,0006999,Legutio,*Diseminado*
01170,01058,0007599,Larrabea,*Diseminado*
01171,01058,0005699,Urrunaga,*Diseminado*
01191,01059,0017301,Asteguieta,Asteguieta
01191,01059,0026501,Estarrona,Estarrona
01191,01059,0033201,Gobeo,Gobeo
01191,01059,0036301,"Hueto Abajo/Otobarren","Hueto Abajo/Otobarren"
01191,01059,0037901,"Otogoien/Hueto Arriba","Otogoien/Hueto Arriba"
01191,01059,0047701,Martioda,Martioda
01191,01059,0051601,Mendoza,Mendoza
01191,01059,0061401,Ullibarri-Viña/Uribarri-D,Ullibarri-Viña/Uribarri-D
01191,01901,0004301,Trespuentes,Trespuentes
01191,01901,0004399,Trespuentes,*Diseminado*
01192,01021,0001701,Añua,Añua
01192,01021,0002201,Arbulu,Arbulu
01192,01021,0003801,Argomaniz,Argomaniz
01192,01021,0004301,Elburgo/Burgelu,Elburgo/Burgelu
01192,01021,0004399,Elburgo/Burgelu,*Diseminado*
01192,01021,0005601,Gazeta,Gazeta
01192,01021,0006901,Hijona/Ixona,Hijona/Ixona
01192,01059,0008101,Arkauti/Arcaute,Arkauti/Arcaute
01192,01059,0022801,Zerio,Zerio
01192,01059,0024901,Elorriaga,Elorriaga
01192,01059,0038501,Ilarratza,Ilarratza
01192,01059,0039801,Jungitu,Jungitu
01192,01059,0044501,Lubiano,Lubiano
01192,01059,0048301,Matauko,Matauko
01192,01059,0055501,Oreitia,Oreitia
01193,01001,0002201,Egileta,Egileta
01193,01021,0006901,Hijona/Ixona,Hijona/Ixona
01193,01027,0001701,Azilu,Azilu
01193,01027,0004301,Erentxun,Erentxun
01193,01027,0007501,Gauna,Gauna
01193,01027,0011501,Trokoniz,Trokoniz
01193,01059,0002201,Aberasturi,Aberasturi
01193,01059,0005601,Andollu,Andollu
01193,01059,0009401,Arkaia,Arkaia
01193,01059,0011501,Argandoña,Argandoña
01193,01059,0016701,Askartza,Askartza
01193,01059,0062901,Villafranca,Villafranca
01194,01016,0005699,Izartza,*Diseminado*
01194,01016,0008101,Okina,Okina
01194,01059,0010801,Aretxabaleta,Aretxabaleta
01194,01059,0018901,Berrostegieta,Berrostegieta
01194,01059,0020601,Bolivar,Bolivar
01194,01059,0021301,Castillo/Gaztelu,Castillo/Gaztelu
01194,01059,0025201,Eskibel,Eskibel
01194,01059,0031101,Gamiz,Gamiz
01194,01059,0032601,Gardelegi,Gardelegi
01194,01059,0040201,Lasarte,Lasarte
01194,01059,0050901,Mendiola,Mendiola
01194,01059,0054201,Monasterioguren,Monasterioguren
01194,01059,0056801,Otazu,Otazu
01194,01059,0059301,"Ullibarri de Los Olleros/","Ullibarri de Los Olleros/"
01195,01059,0012001,Ariñiz/Ariñez,Ariñiz/Ariñez
01195,01059,0023401,Krispiña/Crispijana,Krispiña/Crispijana
01195,01059,0034701,Gometxa,Gometxa
01195,01059,0042401,Lermanda,Lermanda
01195,01059,0046101,Margarita,Margarita
01195,01059,0058001,"Subijana de Alava/Subilla","Subijana de Alava/Subilla"
01195,01059,0065301,"Zuazo de Vitoria/Zuhatzu","Zuazo de Vitoria/Zuhatzu"
01195,01059,0066601,Zumeltzu,Zumeltzu
01195,01901,0005601,Villodas/Billoda,Villodas/Billoda
01195,01901,0005699,Villodas/Billoda,*Diseminado*
01196,01018,0007501,"Etxabarri Ibiña","Etxabarri Ibiña"
01196,01018,0013601,Mendarozketa,Mendarozketa
01196,01059,0006901,Antezana/Andetxa,Antezana/Andetxa
01196,01059,0007501,Arangiz,Arangiz
01196,01059,0015401,"Artatza Foronda","Artatza Foronda"
01196,01059,0028701,Foronda,Foronda
01196,01059,0035001,Gereña,Gereña
01196,01059,0041901,Legarda,Legarda
01196,01059,0043001,Lopidana,Lopidana
01196,01059,0045801,Mandojana,Mandojana
01196,01059,0049601,Mendiguren,Mendiguren
01196,01059,0064001,Yurre/Ihurre,Yurre/Ihurre
01200,01051,0006901,Agurain/Salvatierra,Agurain/Salvatierra
01200,01051,0006999,Agurain/Salvatierra,*Diseminado*
01206,01013,0001701,Audikana,Audikana
01206,01013,0002201,Dallo,Dallo
01206,01013,0002299,Dallo,*Diseminado*
01206,01013,0003801,"Etxabarri Urtupiña","Etxabarri Urtupiña"
01206,01013,0003899,"Etxabarri Urtupiña",*Diseminado*
01206,01013,0004399,Elgea,*Diseminado*
01206,01013,0005601,Etura,Etura
01206,01013,0007501,Gebara,Gebara
01206,01013,0008101,Heredia,Heredia
01206,01013,0011501,Marieta-Larrintzar,Marieta-Larrintzar
01206,01013,0011599,Marieta-Larrintzar,*Diseminado*
01206,01013,0012001,Maturana,Maturana
01206,01013,0012099,Maturana,*Diseminado*
01206,01013,0013601,Mendixur/Mendíjur,Mendixur/Mendíjur
01206,01013,0013699,Mendixur/Mendíjur,*Diseminado*
01206,01013,0014101,Ozaeta,Ozaeta
01206,01013,0014199,Ozaeta,*Diseminado*
01206,01013,0017399,Barrundia,*Diseminado*
01206,01027,0003801,Arrieta,Arrieta
01206,01027,0005601,Ezkerekotxa,Ezkerekotxa
01206,01027,0006901,Gazeo,Gazeo
01206,01027,0010801,Langarika,Langarika
01207,01027,0002201,Alaitza,Alaitza
01207,01027,0008101,Gereñu,Gereñu
01207,01027,0009401,Jauregi,Jauregi
01207,01051,0001701,Alangua,Alangua
01207,01051,0002201,Arrizala,Arrizala
01207,01051,0003801,Egileor,Egileor
01207,01051,0003899,Egileor,*Diseminado*
01207,01051,0005601,Opakua,Opakua
01207,01053,0001701,Adana,Adana
01207,01053,0003801,Txintxetru,Txintxetru
01207,01053,0004301,Eguilaz/Egilatz,Eguilaz/Egilatz
01207,01053,0007501,Mezkia,Mezkia
01207,01053,0008101,Munain,Munain
01207,01053,0010801,Okariz,Okariz
01207,01053,0012001,"Durruma/San Roman de San","Durruma/San Roman de San"
01207,01053,0013601,Ullibarri-Jauregi/Uribarr,Ullibarri-Jauregi/Uribarr
01207,01053,0014101,Bikuña,Bikuña
01207,01053,0014199,Bikuña,*Diseminado*
01208,01009,0001701,Albeiz/Albéniz,Albeiz/Albéniz
01208,01009,0002201,Ametzaga,Ametzaga
01208,01009,0005601,Arriola,Arriola
01208,01009,0007501,Gordoa,Gordoa
01208,01013,0009401,Hermua,Hermua
01208,01013,0010801,Larrea,Larrea
01208,01013,0010899,Larrea,*Diseminado*
01208,01053,0002201,Axpuru,Axpuru
01208,01053,0005601,Galarreta,Galarreta
01208,01053,0006901,Luzuriaga,Luzuriaga
01208,01053,0009401,Narbaiza,Barria
01208,01053,0009402,Narbaiza,Narbaiza
01208,01053,0009499,Narbaiza,*Diseminado*
01208,01053,0011501,Ordoñana/Erdoñana,Ordoñana/Erdoñana
01208,01053,0015401,"Zuazo de San Millan/Zuhat","Zuazo de San Millan/Zuhat"
01208,01061,0001701,Zalduondo,Zalduondo
01208,01061,0001799,Zalduondo,*Diseminado*
01211,01006,0001701,Armiñon,Armiñon
01211,01006,0003801,Lacorzana,Lacorzana
01211,01014,0001701,Berantevilla,Berantevilla
01211,01014,0001799,Berantevilla,*Diseminado*
01211,01014,0002201,Escanzana,Escanzana
01211,01014,0004301,Lacorzanilla,Lacorzanilla
01211,01014,0005601,Mijancas,Mijancas
01211,01014,0007501,Santurde,Santurde
01211,01014,0008101,Tobera,Tobera
01211,01030,0002201,Pipaon,Pipaon
01211,01044,0001701,Baroja-Zumentu,Baroja
01211,01044,0001799,Baroja-Zumentu,*Diseminado*
01211,01044,0005601,Payueta/Pagoeta,Payueta/Pagoeta
01211,09109,0026501,Moraza,Moraza
01212,01014,0006901,"Santa Cruz del Fierro","Santa Cruz del Fierro"
01212,01014,0006999,"Santa Cruz del Fierro",*Diseminado*
01212,01028,0002201,"Salinillas de Buradon/Gat","Salinillas de Buradon/Gat"
01212,01028,0002299,"Salinillas de Buradon/Gat",*Diseminado*
01212,01044,0003801,Loza,Loza
01212,01044,0004301,Montoria,Montoria
01212,01044,0006901,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra
01212,01062,0001701,Berganzo,Berganzo
01212,01062,0002201,Ocio,Ocio
01212,01062,0003801,Portilla/Zabalate,Portilla/Zabalate
01212,01062,0004301,Zambrana,Zambrana
01212,01062,0004399,Zambrana,*Diseminado*
01213,01046,0020699,"San Miguel",*Diseminado*
01213,01046,0024901,Villabezana,Villabezana
01213,01047,0001701,Igai,Igai
01213,01047,0003801,Melledes,Melledes
01213,01047,0004301,"Quintanilla de la Ribera","Quintanilla de la Ribera"
01213,01047,0005601,Ribabellosa,Ribabellosa
01213,01902,0003801,"Caicedo Yuso","Caicedo Yuso"
01213,01902,0003899,"Caicedo Yuso",*Diseminado*
01213,01902,0004301,Comunión/Komunioi,Comunión/Komunioi
01213,01902,0004399,Comunión/Komunioi,*Diseminado*
01213,01902,0006901,"Leciñana del Camino/Leziñ","Leciñana del Camino/Leziñ"
01213,01902,0007501,Molinilla,Molinilla
01213,01902,0010801,Salcedo,Salcedo
01213,01902,0012001,Turiso,Turiso
01213,01902,0013601,Zubillaga,Zubillaga
01216,01016,0002201,Arluzea,Arluzea
01216,01016,0006901,Markinez,Markinez
01216,01016,0011501,Urarte,Urarte
01216,01016,0011599,Urarte,*Diseminado*
01216,01044,0002201,Faido/Faidu,Faido/Faidu
01220,01006,0001701,Armiñon,Armiñon
01220,01006,0002201,Estavillo,Estavillo
01220,01014,0003801,Lacervilla,Lacervilla
01220,01046,0001701,"Antezana de la Ribera","Antezana de la Ribera"
01220,01046,0013601,"Leciñana de la Oca","Leciñana de la Oca"
01220,01047,0002201,Manzanos,Manzanos
01220,01047,0006901,Ribaguda,Ribaguda
01230,01901,0002201,"Nanclares de la Oca/Langr","Nanclares de la Oca/Langr"
01230,01901,0002299,"Nanclares de la Oca/Langr",*Diseminado*
01240,01001,0001701,Alegria-Dulantzi,Alegria-Dulantzi
01250,01009,0004301,Araia,Araia
01250,01009,0004399,Araia,*Diseminado*
01250,01009,0005699,Arriola,*Diseminado*
01260,01009,0003801,Andoin,Andoin
01260,01009,0006901,Egino,Egino
01260,01009,0006999,Egino,*Diseminado*
01260,01009,0008101,Ibarguren,Ibarguren
01260,01009,0009401,Ilarduia,Ilarduia
01260,01009,0009499,Ilarduia,*Diseminado*
01260,01009,0010801,Urabain,Urabain
01300,01031,0001701,"Campillar (El)","Redondo (El)"
01300,01031,0002202,Laguardia,Laguardia
01306,01033,0001701,"Lapuebla de Labarca","Lapuebla de Labarca"
