codigo_postal,municipio_id
03790,03097
03791,03097
03791,03137
03792,03091
03792,03097
03792,03100
03793,03054
03794,03029
03795,03097
03795,03115
03795,03131
03800,03009
03801,03009
03802,03009
03803,03009
03804,03009
03810,03035
03811,03060
03811,03073
03812,03020
03812,03039
03812,03086
03813,03067
03813,03068
03813,03130
03814,03008
03814,03022
03815,03103
03816,03032
03818,03009
03819,03009
03820,03056
03827,03016
03827,03036
03827,03038
03828,03106
03829,03017
03829,03056
03830,03092
03837,03003
03838,03010
03839,03092
03840,03072
03841,03007
03850,03028
03860,03084
03870,03056
04001,04013
04002,04013
04003,04013
04004,04013
04005,04013
04006,04013
04007,04013
04008,04013
04009,04013
04100,04066
04110,04066
04113,04066
04114,04060
04114,04066
04115,04066
04116,04066
04117,04066
04118,04066
04119,04066
04120,04013
04130,04013
04131,04013
04140,04032
04149,04032
04149,04066
04149,04086
04150,04013
04151,04066
04160,04013
04200,04088
04210,04060
04211,04060
04211,04088
04211,04094
04212,04033
04212,04068
04212,04097
04213,04082
04230,04052
04240,04101
04248,04086
04250,04074
04259,04074
04260,04078
04270,04086
04271,04059
04271,04086
04274,04027
04274,04090
04274,04095
04275,04090
04275,04092
04276,04009
04276,04026
04276,04027
04277,04086
04277,04093
04278,04086
04279,04086
04279,04090
04279,04095
04280,04048
04288,04022
04288,04048
04289,04022
04289,04048
04289,04086
04400,04011
04409,04012
04409,04051
04410,04024
04420,04081
04430,04055
04431,04054
04440,04077
04450,04030
04450,04050
04458,04014
04458,04023
04458,04071
04459,04067
04460,04046
04470,04057
04479,04020
04479,04046
04479,04073
04480,04007
04500,04045
04510,04001
04520,04002
04530,04901
04531,04005
04532,04901
04533,04002
04540,04065
04549,04050
04550,04050
04558,04005
04558,04050
04559,04050
04560,04047
04567,04010
04568,04015
04568,04080
04569,04028
04569,04091
04600,04006
04600,04053
04610,04035
04616,04035
04617,04035
04618,04035
04619,04035
04620,04100
04628,04016
04629,04016
04630,04049
04638,04064
04639,04064
04639,04093
04640,04070
04640,04075
04647,04035
04647,04075
04648,04035
04648,04075
04649,04075
04650,04103
04660,04017
04661,04089
04661,04103
04662,04053
04662,04103
04690,04053
04691,04053
04692,04006
04692,04053
04692,04089
04693,04053
04694,04053
04700,04902
04710,04902
04711,04902
04712,04902
04713,04904
04715,04902
04716,04902
04720,04079
04721,04102
04727,04102
04728,04043
04729,04041
04738,04102
04740,04079
04741,04079
04743,04079
04745,04903
04746,04903
04750,04038
04760,04029
04768,04007
04768,04029
04769,04029
04770,04003
04778,04003
04779,04003
04800,04006
04810,04070
04810,04072
04811,04070
04812,04006
04813,04006
04813,04070
04814,04006
04815,04031
04820,04099
04825,04037
04826,04099
04827,04099
04828,04099
04829,04098
04829,04099
04830,04098
04838,04063
04839,04063
04839,04098
04850,04031
04857,04004
04858,04004
04858,04031
04859,04034
04859,04036
04859,04058
04860,04069
04867,04062
04868,04056
04869,04044
04870,04076
04877,04061
04877,04085
04878,04084
04878,04087
04879,04096
04880,04092
04887,04061
04887,04092
04888,04018
04888,04021
04889,04019
04889,04092
04890,04083
04897,04008
04897,04083
04898,04008
04898,04083
04899,04070
04899,04083
04964,04053
05001,05019
05002,05019
05003,05019
05004,05019
05005,05019
05100,05163
05110,05022
05111,05211
05113,05041
05114,05905
05115,05167
05115,05233
05116,05233
05120,05158
05120,05166
05120,05212
05122,05164
05122,05169
05123,05101
05123,05160
05125,05070
05130,05238
05131,05096
05131,05125
05131,05148
05132,05058
05132,05106
05132,05216
05133,05215
05134,05081
05134,05154
05134,05157
05140,05040
05140,05053
05140,05120
05140,05121
05141,05067
05141,05079
05141,05145
05141,05205
05143,05252
05145,05119
05145,05136
05145,05213
05146,05033
05146,05094
05146,05118
05146,05131
05146,05180
05146,05209
05146,05265
05147,05080
05147,05107
05148,05044
05149,05059
05149,05237
05150,05181
05150,05194
05150,05218
05151,05122
05151,05903
05152,05122
05153,05015
05153,05025
05153,05063
05153,05116
05153,05129
05154,05129
05154,05144
05154,05266
05160,05019
05161,05128
05162,05027
05163,05087
05163,05133
05163,05185
05164,05092
05164,05175
05164,05194
05164,05219
05164,05258
05165,05036
05165,05045
05165,05183
05165,05242
05190,05195
05191,05130
05191,05172
05192,05061
05192,05141
05192,05232
05193,05173
05193,05902
05194,05019
05194,05030
05194,05123
05195,05019
05196,05093
05196,05245
05197,05019
05197,05076
05197,05083
05198,05189
05198,05239
05200,05016
05210,05099
05210,05210
05211,05029
05211,05043
05211,05048
05211,05060
05212,05008
05212,05046
05212,05077
05212,05078
05212,05259
05213,05109
05215,05070
05215,05178
05215,05235
05216,05152
05217,05042
05217,05064
05217,05069
05217,05231
05220,05114
05229,05023
05229,05026
05229,05056
05229,05208
05230,05168
05239,05168
05239,05184
05240,05161
05250,05102
05260,05057
05267,05201
05268,05093
05268,05222
05270,05241
05278,05022
05278,05241
05279,05241
05280,05128
05289,05206
05289,05243
05290,05035
05290,05204
05291,05115
05292,05177
05292,05190
05292,05229
05292,05253
05292,05254
05294,05093
05296,05001
05296,05072
05296,05090
05296,05174
05298,05117
05298,05193
05298,05243
05299,05034
05299,05134
05300,05065
05309,05062
05309,05065
05309,05139
05309,05196
05309,05264
05310,05074
05320,05049
05340,05040
05350,05220
05357,05017
05357,05039
05357,05088
05357,05139
05357,05230
05357,05234
05357,05256
05358,05005
05358,05140
05358,05149
05358,05179
05358,05210
05364,05105
05370,05073
05370,05147
05380,05086
05380,05142
05380,05198
05400,05014
05410,05132
05412,05207
05413,05132
05413,05221
05413,05262
05414,05066
05415,05100
05416,05013
05417,05089
05418,05014
05420,05240
05427,05075
05427,05095
05428,05055
05429,05055
05429,05156
05429,05227
05430,05002
05440,05187
05450,05054
05460,05082
05461,05127
05470,05182
05480,05047
05489,05047
05490,05110
05491,05132
05492,05189
05500,05186
05510,05225
05511,05225
05513,05041
05514,05038
05514,05126
05514,05155
05514,05217
05514,05246
05515,05186
05516,05103
05516,05200
05516,05261
05519,33024
05520,05176
05520,05197
05520,05247
05530,05138
05530,05224
05540,05135
05540,05187
05540,05247
05560,05012
05560,05143
05560,05188
05560,05191
05560,05251
05560,05263
05570,05038
05571,05052
05571,05151
05571,05257
05580,05007
05580,05018
05580,05226
05581,05226
05591,05260
05592,05228
05593,05010
05600,05021
05610,05024
05619,05084
05619,05124
05619,05171
05619,05199
05620,05051
05621,05192
05621,05236
05630,05037
05630,05904
05631,05162
05631,05267
05631,05901
05632,05162
05632,05901
05633,05901
05634,05104
05634,05105
05635,05165
05640,05082
05690,05037
05690,05113
05691,05236
05692,05112
05693,05085
05693,05249
05694,05024
05694,05108
05695,05097
05696,05097
05696,05214
05697,05153
05697,05159
05697,05170
05697,05244
06001,06015
06002,06015
06003,06015
06004,06015
06005,06015
06006,06015
06007,06015
06008,06015
06009,06015
06010,06015
06011,06015
06020,06020
06100,06095
06105,06042
06106,06095
06107,06095
06108,06095
06109,06095
06110,06154
06120,06093
06129,06159
06130,06143
06131,06007
06132,06066
06133,06129
06134,06140
06140,06128
06150,06121
06160,06016
06170,06005
06170,06015
06171,06010
06172,06131
06173,06092
06174,06061
06174,06116
06175,06099
06175,06117
06176,06089
06176,06099
06177,06147
06178,06148
06180,06015
06181,06015
06182,06015
06183,06015
06184,06902
06185,06901
06186,06903
06187,06072
06190,06115
06191,06107
06192,06155
06193,06015
06194,06015
06195,06015
06196,06040
06196,06126
06197,06045
06198,06126
06200,06011
06207,06002
06208,06152
06209,06126
06210,06133
06220,06149
06225,06113
06226,06068
